,accuracy,precision,recall,f1,roc_auc,pr_auc,brier_score,specificity,npv,fpr,fnr,confusion_matrix
rf,0.9758417140358548,0.9889227298364354,0.9669549104385423,0.977815452223474,0.9972721518836404,0.9979527417258833,0.021318560177634335,0.9867297297297297,0.9605862078038256,0.01327027027027027,0.03304508956145769,"{'tn': 36509, 'fp': 491, 'fn': 1498, 'tp': 43834}"
xgb,0.9785381139775543,0.9862490791794093,0.9746095473396277,0.9803947674999167,0.997646945895865,0.998214841724123,0.017247863256115097,0.9833513513513513,0.9693352870654056,0.016648648648648647,0.025390452660372365,"{'tn': 36384, 'fp': 616, 'fn': 1151, 'tp': 44181}"
lgb,0.9814167031045037,0.9889489194499018,0.9771684461307686,0.9830233899960057,0.9983673462574019,0.9987512509224943,0.014361707208480292,0.9866216216216216,0.9724294086307939,0.013378378378378379,0.022831553869231448,"{'tn': 36505, 'fp': 495, 'fn': 1035, 'tp': 44297}"
et,0.9164116018073167,0.9389269406392694,0.9071957998764669,0.9227886729794014,0.985205074990282,0.9883444163603898,0.05854933854794151,0.9277027027027027,0.890818021384823,0.0722972972972973,0.09280420012353305,"{'tn': 34325, 'fp': 2675, 'fn': 4207, 'tp': 41125}"
mlp,0.9615459359665743,0.9703087356116713,0.9595208682608312,0.9648846495119787,0.9934935628074911,0.9951068337333353,0.029168755926340807,0.964027027027027,0.951071885665529,0.03597297297297297,0.0404791317391688,"{'tn': 35669, 'fp': 1331, 'fn': 1835, 'tp': 43497}"
ensemble_raw,0.9813195355390371,0.9873147282681266,0.9786464307773758,0.9829614694347816,0.998088444175226,0.9985546976505839,0.014487826641519156,0.9845945945945946,0.9741162629017595,0.015405405405405406,0.021353569222624196,"{'tn': 36430, 'fp': 570, 'fn': 968, 'tp': 44364}"
ensemble,0.9813195355390371,0.9873147282681266,0.9786464307773758,0.9829614694347816,0.998088444175226,0.9985546976953368,0.026641287561071113,0.9845945945945946,0.9741162629017595,0.015405405405405406,0.021353569222624196,"{'tn': 36430, 'fp': 570, 'fn': 968, 'tp': 44364}"
